"Scientific Name","Scientific Name_url","Common Name","Status","Entity Description","ESA Listing Date","Foreign or Domestic","Document Date","Document Title","Document Title_url"
"Zanthoxylum dipetalum var. tomentosum","https://ecos.fws.gov/ecp/species/2297","A`e","Endangered","Wherever found","10-10-1996","Domestic","06-02-2009","Zanthoxylum dipetalum var. tomentosum 5-yr rvw","https://ecos.fws.gov/docs/five_year_review/doc2427.pdf"
"Zanthoxylum dipetalum var. tomentosum","https://ecos.fws.gov/ecp/species/2297","A`e","Endangered","Wherever found","10-10-1996","Domestic","08-06-2015","Zanthoxylum dipetalum var. tomentosum 5-year reviews 2015","https://ecos.fws.gov/docs/five_year_review/doc4569.pdf"
"Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","A`e","Endangered","Wherever found","03-04-1994","Domestic","08-06-2015","Zanthoxylum hawaiiense 5-year review 2015","https://ecos.fws.gov/docs/five_year_review/doc4565.pdf"
"Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","A`e","Endangered","Wherever found","03-04-1994","Domestic","08-27-2010","A`e (Zanthoxylum hawaiiense) 5-Year Review","https://ecos.fws.gov/docs/five_year_review/doc3298.pdf"
"Zanthoxylum oahuense","https://ecos.fws.gov/ecp/species/7998","A`e","Endangered","Wherever found","10-18-2012","Domestic","08-30-2019","5-year Status Review for Zanthoxylum oahuense","https://ecos.fws.gov/docs/five_year_review/doc6146.pdf"
"Argyroxiphium sandwicense ssp. macrocephalum","https://ecos.fws.gov/ecp/species/387","`Ahinahina","Threatened","Wherever found","05-15-1992","Domestic","08-02-2011","Argyroxiphium sandwicense subsp. macrocephalum (ahinahina) 5-Year Review","https://ecos.fws.gov/docs/five_year_review/doc3801.pdf"
"Argyroxiphium sandwicense ssp. macrocephalum","https://ecos.fws.gov/ecp/species/387","`Ahinahina","Threatened","Wherever found","05-15-1992","Domestic","10-22-2018","2018 Argyroxiphium sandwicense ssp. macrocephalum 5-year review","https://ecos.fws.gov/docs/five_year_review/doc5862.pdf"
"Argyroxiphium sandwicense ssp. sandwicense","https://ecos.fws.gov/ecp/species/262","`Ahinahina","Endangered","Wherever found","03-21-1986","Domestic","08-28-2012","Argyroxiphium sandwicense subsp. sandwicense (Ahinahina or Mauna Kea Silversword): 5-Year Review, Summary and Evaluation","https://ecos.fws.gov/docs/five_year_review/doc4091.pdf"
"Solanum sandwicense","https://ecos.fws.gov/ecp/species/7342","`Aiakeakua, popolo","Endangered","Wherever found","02-25-1994","Domestic","07-21-2009","Solanum sandwicense 5-yr rvw","https://ecos.fws.gov/docs/five_year_review/doc2433.pdf"
"Solanum sandwicense","https://ecos.fws.gov/ecp/species/7342","`Aiakeakua, popolo","Endangered","Wherever found","02-25-1994","Domestic","09-17-2017","Solanum sandwicense 5-year review 2017","https://ecos.fws.gov/docs/five_year_review/doc5378.pdf"
"Nothocestrum breviflorum","https://ecos.fws.gov/ecp/species/7493","`Aiea","Endangered","Wherever found","03-04-1994","Domestic","08-28-2012","Nothocestrum breviflorum (Aiea): 5-year Review, Summary and Evaluation","https://ecos.fws.gov/docs/five_year_review/doc4072.pdf"
"Nothocestrum peltatum","https://ecos.fws.gov/ecp/species/5366","`Aiea","Endangered","Wherever found","02-25-1994","Domestic","07-21-2009","Nothocestrum peltatum 5-yr rvw","https://ecos.fws.gov/docs/five_year_review/doc2445.pdf"
"Nothocestrum peltatum","https://ecos.fws.gov/ecp/species/5366","`Aiea","Endangered","Wherever found","02-25-1994","Domestic","09-16-2017","Nothocestrum peltatum 5-year review 2017","https://ecos.fws.gov/docs/five_year_review/doc5344.pdf"
"Loxops caeruleirostris","https://ecos.fws.gov/ecp/species/153","Akekee","Endangered","Wherever found","05-13-2010","Domestic","09-05-2017","Akekee 5-year review 2017","https://ecos.fws.gov/docs/five_year_review/doc5230.pdf"
"Hemignathus wilsoni","https://ecos.fws.gov/ecp/species/1816","akiapolaau","Endangered","Wherever found","03-11-1967","Domestic","08-18-2015","Akiapolaau 5-year review 2015","https://ecos.fws.gov/docs/five_year_review/doc4571.pdf"
"Hemignathus wilsoni","https://ecos.fws.gov/ecp/species/1816","akiapolaau","Endangered","Wherever found","03-11-1967","Domestic","08-27-2010","`Akiapolaau (Hemignathus munroi), 5-Year Review Summary and Evaluation","https://ecos.fws.gov/docs/five_year_review/doc3851.pdf"
"Oreomystis bairdi","https://ecos.fws.gov/ecp/species/6617","Akikiki","Endangered","Wherever found","05-13-2010","Domestic","09-05-2017","Akikiki 5-year Review 2017","https://ecos.fws.gov/docs/five_year_review/doc5231.pdf"
"Euphorbia celastroides var. kaenana","https://ecos.fws.gov/ecp/species/3842","`Akoko","Endangered","Wherever found","10-29-1991","Domestic","08-02-2007","Chamaesyce celastroides var. kaenana completed 5-yr review","https://ecos.fws.gov/docs/five_year_review/doc1123.pdf"
"Euphorbia celastroides var. kaenana","https://ecos.fws.gov/ecp/species/3842","`Akoko","Endangered","Wherever found","10-29-1991","Domestic","09-26-2019","5-year Status Review for Euphorbia celastroides var. kaenana","https://ecos.fws.gov/docs/five_year_review/doc6234.pdf"
"Euphorbia deppeana","https://ecos.fws.gov/ecp/species/6446","`Akoko","Endangered","Wherever found","03-28-1994","Domestic","08-02-2007","Chamaesyce deppeana completed 5-yr review","https://ecos.fws.gov/docs/five_year_review/doc1124.pdf"
"Euphorbia deppeana","https://ecos.fws.gov/ecp/species/6446","`Akoko","Endangered","Wherever found","03-28-1994","Domestic","09-26-2019","5-year Status Review for Euphorbia deppeana","https://ecos.fws.gov/docs/five_year_review/doc6235.pdf"
"Euphorbia eleanoriae","https://ecos.fws.gov/ecp/species/1368","`Akoko","Endangered","Wherever found","05-13-2010","Domestic","09-13-2017","Euphorbia eleanoriae 5-year review 2017","https://ecos.fws.gov/docs/five_year_review/doc5269.pdf"
"Euphorbia haeleeleana","https://ecos.fws.gov/ecp/species/8432","`Akoko","Endangered","Wherever found","10-10-1996","Domestic","08-27-2010","`Akoko (Euphorbia haeleeleana) 5-Year Review","https://ecos.fws.gov/docs/five_year_review/doc3293.pdf"
"Euphorbia haeleeleana","https://ecos.fws.gov/ecp/species/8432","`Akoko","Endangered","Wherever found","10-10-1996","Domestic","09-13-0217","Euphorbia haeleeleana 5-year review 2017","https://ecos.fws.gov/docs/five_year_review/doc5270.pdf"
"Euphorbia herbstii","https://ecos.fws.gov/ecp/species/6481","`Akoko","Endangered","Wherever found","10-10-1996","Domestic","08-02-2007","Chamaesyce herbstii completed 5-yr review","https://ecos.fws.gov/docs/five_year_review/doc1125.pdf"
"Euphorbia herbstii","https://ecos.fws.gov/ecp/species/6481","`Akoko","Endangered","Wherever found","10-10-1996","Domestic","09-26-2019","5-year Status Review for Euphorbia herbstii","https://ecos.fws.gov/docs/five_year_review/doc6236.pdf"
"Euphorbia kuwaleana","https://ecos.fws.gov/ecp/species/6308","`Akoko","Endangered","Wherever found","10-29-1991","Domestic","08-02-2011","Chamaesyce kuwaleana (¿akoko) 5-Year Review","https://ecos.fws.gov/docs/five_year_review/doc3807.pdf"
"Euphorbia kuwaleana","https://ecos.fws.gov/ecp/species/6308","`Akoko","Endangered","Wherever found","10-29-1991","Domestic","09-26-2019","5-year Status Review for Euphorbia kuweleana","https://ecos.fws.gov/docs/five_year_review/doc6237.pdf"
"Euphorbia remyi var. kauaiensis","https://ecos.fws.gov/ecp/species/2643","`Akoko","Endangered","Wherever found","05-13-2010","Domestic","09-13-2017","Euphorbia remyi var. kauaiensis 5-year review 2017","https://ecos.fws.gov/docs/five_year_review/doc5272.pdf"
