Scientific Name,Scientific Name_url,Common Name,Status,Entity Description,ESA Listing Date,Foreign or Domestic,Taxonomic Group,Region Description
Abronia macrocarpa,https://ecos.fws.gov/ecp/species/1882,Large-fruited sand-verbena,Endangered,Wherever found,09-28-1988,Domestic,Flowering Plants,Southwest Region
Abutilon eremitopetalum,https://ecos.fws.gov/ecp/species/2927,No common name,Endangered,Wherever found,09-20-1991,Domestic,Flowering Plants,Pacific Region
Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Ko`oloa`ula,Endangered,Wherever found,09-26-1986,Domestic,Flowering Plants,Pacific Region
Abutilon sandwicense,https://ecos.fws.gov/ecp/species/7482,No common name,Endangered,Wherever found,10-29-1991,Domestic,Flowering Plants,Pacific Region
Acaena exigua,https://ecos.fws.gov/ecp/species/7600,Liliwai,Endangered,Wherever found,05-15-1992,Domestic,Flowering Plants,Pacific Region
Acanthomintha ilicifolia,https://ecos.fws.gov/ecp/species/351,San Diego thornmint,Threatened,Wherever found,10-13-1998,Both Domestic and Foreign,Flowering Plants,Pacific Southwest Region
Acanthomintha obovata ssp. duttonii,https://ecos.fws.gov/ecp/species/2038,San Mateo thornmint,Endangered,Wherever found,09-18-1985,Domestic,Flowering Plants,Pacific Southwest Region
Accipiter striatus venator,https://ecos.fws.gov/ecp/species/604,Puerto Rican sharp-shinned hawk,Endangered,Wherever found,09-09-1994,Domestic,Birds,Southeast Region
Achatinella spp.,https://ecos.fws.gov/ecp/species/304,Oahu tree snails,Endangered,Wherever found,02-12-1981,Domestic,Snails,Pacific Region
Achyranthes mutica,https://ecos.fws.gov/ecp/species/5667,No common name,Endangered,Wherever found,10-10-1996,Domestic,Flowering Plants,Pacific Region
Achyranthes splendens var. rotundata,https://ecos.fws.gov/ecp/species/4709,Round-leaved chaff-flower,Endangered,Wherever found,03-26-1986,Domestic,Flowering Plants,Pacific Region
Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Shortnose sturgeon,Endangered,Wherever found,03-11-1967,Domestic,Fishes,National Oceanic and Atmospheric Administration
Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,green sturgeon,Threatened,Southern DPS - See 50 CFR 223.102,06-06-2006,Both Domestic and Foreign,Fishes,National Oceanic and Atmospheric Administration
Acipenser oxyrinchus (=oxyrhynchus) desotoi,https://ecos.fws.gov/ecp/species/651,Atlantic sturgeon (Gulf subspecies),Threatened,Wherever found,09-30-1991,Domestic,Fishes,Southeast Region
Acipenser oxyrinchus oxyrinchus,https://ecos.fws.gov/ecp/species/3252,Atlantic sturgeon,Endangered,Carolina DPS - See 50 CFR 224.101,02-06-2012,Domestic,Fishes,National Oceanic and Atmospheric Administration
Acipenser oxyrinchus oxyrinchus,https://ecos.fws.gov/ecp/species/3252,Atlantic sturgeon,Endangered,Chesapeake Bay DPS - See 50 CFR 224.101,02-06-2012,Domestic,Fishes,National Oceanic and Atmospheric Administration
